section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
B,1,B1,Institutional Enrollment,"[[{0: '', 1: 'Men', 2: 'Men', 3: 'Women', 4: 'Women', 5: 'Another Gender', 6: 'Another Gender'}, {0: '', 1: 'Enrollment Full Time', 2: 'Enrollment Part Time', 3: 'Enrollment Full Time', 4: 'Enrollment Part Time', 5: 'Enrollment Full Time', 6: 'Enrollment Part Time'}, {0: 'UNDERGRADUATE STUDENTS', 1: 'UNDERGRADUATE STUDENTS', 2: 'UNDERGRADUATE STUDENTS', 3: 'UNDERGRADUATE STUDENTS', 4: 'UNDERGRADUATE STUDENTS', 5: 'UNDERGRADUATE STUDENTS', 6: 'UNDERGRADUATE STUDENTS'}, {0: 'Degree-seeking, first-time, first-year\nstudents', 1: '2,438', 2: '9', 3: '2,809', 4: '30', 5: '', 6: ''}, {0: 'Other first-year, degree-seeking students', 1: '291', 2: '28', 3: '276', 4: '28', 5: '', 6: ''}, {0: 'All other degree-seeking undergraduate\nstudents', 1: '8,138', 2: '474', 3: '8,523', 4: '650', 5: '', 6: ''}, {0: 'Total degree-seeking undergraduate students', 1: '10,867', 2: '511', 3: '11,608', 4: '708', 5: '', 6: ''}, {0: 'All other undergraduates enrolled in credit\ncourses', 1: '18', 2: '95', 3: '44', 4: '85', 5: '', 6: ''}, {0: 'Total Undergraduate Students', 1: '10,885', 2: '606', 3: '11,652', 4: '793', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: 'students', 4: '1,219', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '22,475', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '23,694', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '23,936', 5: '', 6: ''}], [{0: '', 1: 'Men', 2: 'Men', 3: 'Women', 4: 'Women', 5: 'Another Gender', 6: 'Another Gender'}, {0: '', 1: 'Enrollment Full Time', 2: 'Enrollment Part Time', 3: 'Enrollment Full Time', 4: 'Enrollment Part Time', 5: 'Enrollment Full Time', 6: 'Enrollment Part Time'}, {0: 'GRADUATE STUDENTS', 1: 'GRADUATE STUDENTS', 2: 'GRADUATE STUDENTS', 3: 'GRADUATE STUDENTS', 4: 'GRADUATE STUDENTS', 5: 'GRADUATE STUDENTS', 6: 'GRADUATE STUDENTS'}, {0: 'Degree-seeking, first-time', 1: '741', 2: '313', 3: '765', 4: '303', 5: '', 6: ''}, {0: 'All other degree-seeking', 1: '752', 2: '1,908', 3: '784', 4: '1,785', 5: '', 6: ''}, {0: 'All other graduates enrolled in credit\ncourses', 1: '53', 2: '157', 3: '30', 4: '283', 5: '', 6: ''}, {0: 'Total Graduate Students', 1: '1,546', 2: '2,378', 3: '1,579', 4: '2,371', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: 'students', 4: '4,309', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '3,042', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '7,351', 5: '', 6: ''}, {0: '', 1: '', 2: '', 3: '', 4: '7,874', 5: '', 6: ''}]]","<table> <tr> <td> </td> <td colspan=""2""> Men </td> <td colspan=""2""> Women </td> <td colspan=""2""> Another Gender </td> </tr> <tr> <td> </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> </tr> <tr> <td colspan=""7""> UNDERGRADUATE STUDENTS </td> </tr> <tr> <td> Degree-seeking, first-time, first-year <br/> students </td> <td> 2,438 </td> <td> 9 </td> <td> 2,809 </td> <td> 30 </td> <td> </td> <td> </td> </tr> <tr> <td> Other first-year, degree-seeking students </td> <td> 291 </td> <td> 28 </td> <td> 276 </td> <td> 28 </td> <td> </td> <td> </td> </tr> <tr> <td> All other degree-seeking undergraduate <br/> students </td> <td> 8,138 </td> <td> 474 </td> <td> 8,523 </td> <td> 650 </td> <td> </td> <td> </td> </tr> <tr> <td> Total degree-seeking undergraduate students </td> <td> 10,867 </td> <td> 511 </td> <td> 11,608 </td> <td> 708 </td> <td> </td> <td> </td> </tr> <tr> <td> All other undergraduates enrolled in credit <br/> courses </td> <td> 18 </td> <td> 95 </td> <td> 44 </td> <td> 85 </td> <td> </td> <td> </td> </tr> <tr> <td> Total Undergraduate Students </td> <td> 10,885 </td> <td> 606 </td> <td> 11,652 </td> <td> 793 </td> <td> </td> <td> </td> </tr> <tr> <td colspan=""3""> </td> <td> students </td> <td> 1,219 </td> <td> </td> <td> </td> </tr> <tr> <td colspan=""4""> </td> <td> 22,475 </td> <td colspan=""2""> </td> </tr> <tr> <td colspan=""4""> </td> <td> 23,694 </td> <td colspan=""2""> </td> </tr> <tr> <td colspan=""4""> </td> <td> 23,936 </td> <td colspan=""2""> </td> </tr> </table><div class=""separator""></div><table> <tr> <td> </td> <td colspan=""2""> Men </td> <td colspan=""2""> Women </td> <td colspan=""2""> Another Gender </td> </tr> <tr> <td> </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> <td> Enrollment Full Time </td> <td> Enrollment Part Time </td> </tr> <tr> <td colspan=""7""> GRADUATE STUDENTS </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 741 </td> <td> 313 </td> <td> 765 </td> <td> 303 </td> <td> </td> <td> </td> </tr> <tr> <td> All other degree-seeking </td> <td> 752 </td> <td> 1,908 </td> <td> 784 </td> <td> 1,785 </td> <td> </td> <td> </td> </tr> <tr> <td> All other graduates enrolled in credit <br/> courses </td> <td> 53 </td> <td> 157 </td> <td> 30 </td> <td> 283 </td> <td> </td> <td> </td> </tr> <tr> <td> Total Graduate Students </td> <td> 1,546 </td> <td> 2,378 </td> <td> 1,579 </td> <td> 2,371 </td> <td> </td> <td> </td> </tr> <tr> <td colspan=""3""> </td> <td> students </td> <td> 4,309 </td> <td> </td> <td> </td> </tr> <tr> <td colspan=""4""> </td> <td> 3,042 </td> <td colspan=""2""> </td> </tr> <tr> <td colspan=""4""> </td> <td> 7,351 </td> <td colspan=""2""> </td> </tr> <tr> <td colspan=""4""> </td> <td> 7,874 </td> <td colspan=""2""> </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
B,4,B4,- B21. Graduation Rates,"[[{0: '', 1: '2017 COHORT (AY - 7)', 2: '2017 COHORT (AY - 7)', 3: '2017 COHORT (AY - 7)', 4: '2017 COHORT (AY - 7)'}, {0: '2017 cohort if available. If Fall 2017 cohort data are not available,\nprovide data for the Fall 2016 cohort.', 1: 'Recipients of\na Federal\nPell Grant', 2: 'Recipients of\na Subsidized\nStafford\nreceive Loan, did Grant not who a Pell', 3: 'Students\nwho receive did not\neither a Pell\nsubsidized Grant or a\nStafford\nLoan', 4: 'Total'}, {0: ""A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent)\ndegree-seeking undergraduate students"", 1: '1,031', 2: '1,820', 3: '1,850', 4: '4,701'}, {0: 'B. Of the Initial 2017 cohort, how many did not persist and did not\ngraduate for any of the following reasons: (report total allowable\nexclusions)\n- Deceased - Permanently Disabled\n- Armed Forces - Foreign Aid Service of the Federal Government\n- Official church missions', 1: '3', 2: '0', 3: '1', 4: '4'}, {0: 'C. Final 2017 cohort, after adjusting for allowable exclusions', 1: '1,028', 2: '1,820', 3: '1,849', 4: '4,697'}, {0: 'D. Of the initial 2017 cohort, how many completed the program in four\nyears or less (by Aug. 31, 2021)?', 1: '716', 2: '1,418', 3: '1,447', 4: '3,581'}, {0: 'E. Of the initial 2017 cohort, how many completed the program in\nmore than four years but in five years or less (after Aug. 31, 2021 and\nby Aug. 31, 2022)?', 1: '70', 2: '105', 3: '104', 4: '279'}, {0: 'F. Of the initial 2017 cohort, how many completed the program in\nmore than five years but in six years or less (after Aug. 31, 2022 and by\nAug. 31, 2023)?', 1: '15', 2: '16', 3: '25', 4: '56'}, {0: 'G. Total graduating within six years\n(Sum of D., E., and F.)', 1: '801', 2: '1,539', 3: '1,576', 4: '3,916'}, {0: 'H. Six-year graduation rate for 2017 cohort\n(G. divided by C.)', 1: '77.9%', 2: '84.6%', 3: '85.2%', 4: '83.4%'}]]","<table> <tr> <td> </td> <td colspan=""4""> 2017 COHORT (AY - 7) </td> </tr> <tr> <td> 2017 cohort if available. If Fall 2017 cohort data are not available, <br/> provide data for the Fall 2016 cohort. </td> <td> Recipients of <br/> a Federal <br/> Pell Grant </td> <td> Recipients of <br/> a Subsidized <br/> Stafford <br/> receive Loan, did Grant not who a Pell </td> <td> Students <br/> who receive did not <br/> either a Pell <br/> subsidized Grant or a <br/> Stafford <br/> Loan </td> <td> Total </td> </tr> <tr> <td> A. Initial 2017 cohort of first-time, full-time, bachelor's (or equivalent) <br/> degree-seeking undergraduate students </td> <td> 1,031 </td> <td> 1,820 </td> <td> 1,850 </td> <td> 4,701 </td> </tr> <tr> <td> B. Of the Initial 2017 cohort, how many did not persist and did not <br/> graduate for any of the following reasons: (report total allowable <br/> exclusions) <br/> - Deceased - Permanently Disabled <br/> - Armed Forces - Foreign Aid Service of the Federal Government <br/> - Official church missions </td> <td> 3 </td> <td> 0 </td> <td> 1 </td> <td> 4 </td> </tr> <tr> <td> C. Final 2017 cohort, after adjusting for allowable exclusions </td> <td> 1,028 </td> <td> 1,820 </td> <td> 1,849 </td> <td> 4,697 </td> </tr> <tr> <td> D. Of the initial 2017 cohort, how many completed the program in four <br/> years or less (by Aug. 31, 2021)? </td> <td> 716 </td> <td> 1,418 </td> <td> 1,447 </td> <td> 3,581 </td> </tr> <tr> <td> E. Of the initial 2017 cohort, how many completed the program in <br/> more than four years but in five years or less (after Aug. 31, 2021 and <br/> by Aug. 31, 2022)? </td> <td> 70 </td> <td> 105 </td> <td> 104 </td> <td> 279 </td> </tr> <tr> <td> F. Of the initial 2017 cohort, how many completed the program in <br/> more than five years but in six years or less (after Aug. 31, 2022 and by <br/> Aug. 31, 2023)? </td> <td> 15 </td> <td> 16 </td> <td> 25 </td> <td> 56 </td> </tr> <tr> <td> G. Total graduating within six years <br/> (Sum of D., E., and F.) </td> <td> 801 </td> <td> 1,539 </td> <td> 1,576 </td> <td> 3,916 </td> </tr> <tr> <td> H. Six-year graduation rate for 2017 cohort <br/> (G. divided by C.) </td> <td> 77.9% </td> <td> 84.6% </td> <td> 85.2% </td> <td> 83.4% </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
C,1,C1,"Applications: First-time, First-year Students","[[{0: '', 1: 'In-State', 2: 'Out-of-State', 3: 'International', 4: 'Total'}, {0: 'Total first-time, first-year (degree seeking) who applied', 1: '22,090', 2: '21,329', 3: '7,005', 4: '50,424'}, {0: 'Total first-time, first-year (degree seeking) who were admitted', 1: '13,264', 2: '12,510', 3: '3,355', 4: '29,129'}, {0: 'Total first-time, first-year (degree seeking) enrolled', 1: '3,575', 2: '1,232', 3: '479', 4: '5,286'}]]","<table> <tr> <td> </td> <td> In-State </td> <td> Out-of-State </td> <td> International </td> <td> Total </td> </tr> <tr> <td> Total first-time, first-year (degree seeking) who applied </td> <td> 22,090 </td> <td> 21,329 </td> <td> 7,005 </td> <td> 50,424 </td> </tr> <tr> <td> Total first-time, first-year (degree seeking) who were admitted </td> <td> 13,264 </td> <td> 12,510 </td> <td> 3,355 </td> <td> 29,129 </td> </tr> <tr> <td> Total first-time, first-year (degree seeking) enrolled </td> <td> 3,575 </td> <td> 1,232 </td> <td> 479 </td> <td> 5,286 </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
C,5,C5,Admission Requirements: High School Units Required/Recommended,"[[{0: '', 1: 'Required Units', 2: 'Recommended Units'}, {0: 'Total Academic Units', 1: '17.0', 2: ''}, {0: 'English', 1: '4.0', 2: ''}, {0: 'Mathematics', 1: '4.0', 2: ''}, {0: 'Science', 1: '3.0', 2: ''}, {0: 'of Science Units, how many units must be lab', 1: '3.0', 2: ''}, {0: 'Foreign language', 1: '2.0', 2: ''}, {0: 'Social Studies', 1: '1.0', 2: ''}, {0: 'History', 1: '1.0', 2: ''}, {0: 'Computer Science', 1: '', 2: ''}, {0: 'Visual/Performing Arts', 1: '', 2: ''}, {0: 'Academic Electives', 1: '2.0', 2: ''}]]","<table> <tr> <td> </td> <td> Required Units </td> <td> Recommended Units </td> </tr> <tr> <td> Total Academic Units </td> <td> 17.0 </td> <td> </td> </tr> <tr> <td> English </td> <td> 4.0 </td> <td> </td> </tr> <tr> <td> Mathematics </td> <td> 4.0 </td> <td> </td> </tr> <tr> <td> Science </td> <td> 3.0 </td> <td> </td> </tr> <tr> <td> of Science Units, how many units must be lab </td> <td> 3.0 </td> <td> </td> </tr> <tr> <td> Foreign language </td> <td> 2.0 </td> <td> </td> </tr> <tr> <td> Social Studies </td> <td> 1.0 </td> <td> </td> </tr> <tr> <td> History </td> <td> 1.0 </td> <td> </td> </tr> <tr> <td> Computer Science </td> <td> </td> <td> </td> </tr> <tr> <td> Visual/Performing Arts </td> <td> </td> <td> </td> </tr> <tr> <td> Academic Electives </td> <td> 2.0 </td> <td> </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
C,9,C9,"First-time, first-year profile: National standardized test scores (SAT/ACT)","[[{0: '27%', 1: '1,429'}, {0: '3.9%', 1: '207'}]]","<table> <tr> <td> 27% </td> <td> 1,429 </td> </tr> <tr> <td> 3.9% </td> <td> 207 </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
C,11,C11,High School Grade Point Ranges,"[[{0: '69.7%', 1: '57.1%', 2: '60.9%'}, {0: '15.5%', 1: '24.6%', 2: '21.8%'}, {0: '10.0%', 1: '12.9%', 2: '12.0%'}, {0: '3.2%', 1: '4.3%', 2: '4.0%'}, {0: '1.3%', 1: '0.5%', 2: '0.8%'}, {0: '0.3%', 1: '0.6%', 2: '0.5%'}, {0: '0.0%', 1: '0.1%', 2: '0.1%'}, {0: '0.0%', 1: '0.0%', 2: '0.0%'}, {0: '0.0%', 1: '0.0%', 2: '0.0%'}, {0: '100.0%', 1: '100.0%', 2: '100.0%'}]]",<table> <tr> <td> 69.7% </td> <td> 57.1% </td> <td> 60.9% </td> </tr> <tr> <td> 15.5% </td> <td> 24.6% </td> <td> 21.8% </td> </tr> <tr> <td> 10.0% </td> <td> 12.9% </td> <td> 12.0% </td> </tr> <tr> <td> 3.2% </td> <td> 4.3% </td> <td> 4.0% </td> </tr> <tr> <td> 1.3% </td> <td> 0.5% </td> <td> 0.8% </td> </tr> <tr> <td> 0.3% </td> <td> 0.6% </td> <td> 0.5% </td> </tr> <tr> <td> 0.0% </td> <td> 0.1% </td> <td> 0.1% </td> </tr> <tr> <td> 0.0% </td> <td> 0.0% </td> <td> 0.0% </td> </tr> <tr> <td> 0.0% </td> <td> 0.0% </td> <td> 0.0% </td> </tr> <tr> <td> 100.0% </td> <td> 100.0% </td> <td> 100.0% </td> </tr> </table>,166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
F,1,F1,"First-time, first-year degree-seeking students and undergraduates enrolled","[[{0: 'First-time,\nFirst-year Students', 1: 'Undergraduates'}, {0: '25.6%', 1: '21.2%'}, {0: '6.5%', 1: '6.4%'}, {0: '6.0%', 1: '6.3%'}, {0: '97.3%', 1: '58.7%'}, {0: '2.7%', 1: '41.3%'}, {0: '0.02%', 1: '4.5%'}, {0: '18', 1: '20'}, {0: '18', 1: '20'}]]","<table> <tr> <td> First-time, <br/> First-year Students </td> <td> Undergraduates </td> </tr> <tr> <td> 25.6% </td> <td> 21.2% </td> </tr> <tr> <td> 6.5% </td> <td> 6.4% </td> </tr> <tr> <td> 6.0% </td> <td> 6.3% </td> </tr> <tr> <td> 97.3% </td> <td> 58.7% </td> </tr> <tr> <td> 2.7% </td> <td> 41.3% </td> </tr> <tr> <td> 0.02% </td> <td> 4.5% </td> </tr> <tr> <td> 18 </td> <td> 20 </td> </tr> <tr> <td> 18 </td> <td> 20 </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
G,1,G1,"Undergraduate, full-time tuition, required fees, food and housing","[[{0: 'Tuition: In-district', 1: '', 2: ''}, {0: '', 1: '$17,006.00', 2: '$17,006.00'}, {0: '', 1: '$39,683.00', 2: '$39,683.00'}, {0: 'Tuitition: International (non-resident)', 1: '$39,683.00', 2: '$39,683.00'}]]","<table> <tr> <td> Tuition: In-district </td> <td> </td> <td> </td> </tr> <tr> <td> </td> <td> $17,006.00 </td> <td> $17,006.00 </td> </tr> <tr> <td> </td> <td> $39,683.00 </td> <td> $39,683.00 </td> </tr> <tr> <td> Tuitition: International (non-resident) </td> <td> $39,683.00 </td> <td> $39,683.00 </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
G,5,G5,Estimated Expenses for Typical Full-Time Undergraduates,"[[{0: '$1,200.00 $1,200.00', 1: '$1,200.00 $1,200.00', 2: '$1,200.00'}, {0: '$2,400.00', 1: '$2,400.00', 2: '$8,480.00'}, {0: '$2,400.00', 1: '$2,400.00', 2: '$7,468.00'}, {0: '$400.00', 1: '$400.00', 2: '$400.00'}, {0: '$1,040.00', 1: '$1,040.00', 2: '$1,040.00'}]]","<table> <tr> <td colspan=""2""> $1,200.00 $1,200.00 </td> <td> $1,200.00 </td> </tr> <tr> <td rowspan=""2""> $2,400.00 </td> <td rowspan=""2""> $2,400.00 </td> <td> $8,480.00 </td> </tr> <tr> <td> $7,468.00 </td> </tr> <tr> <td> $400.00 </td> <td> $400.00 </td> <td> $400.00 </td> </tr> <tr> <td> $1,040.00 </td> <td> $1,040.00 </td> <td> $1,040.00 </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
H,5,H5,Number/Percent Borrowers and Average Borrowed Amount,"[[{0: 'Source/Type of Loan', 1: 'Number in the class\n(defined in H4 above)\nwho borrowed from\nthe types of loans\nspecific in the first\ncolumn', 2: 'Percent of the class\n(defined above) who\nborrowed from the\ntypes of loans\nspecified in the first\ncolumn (nearest 1%)', 3: 'Average per\ufffe\nundergraduate\ufffe\nborrower\ncumulative\nprincipal\nborrowed from\nthe types of loans\nspecific in the first\ncolumn (nearest\n$1)'}, {0: 'A. Any loan program: Federal Perkins, Federal Stafford\nSubsidized and Unsubsidized, institutional, state, private\nloans that your institution is aware of, etc. Include both\nFederal Direct Student Loans and Federal Family\nEducation Loans.', 1: '2,724', 2: '58%', 3: '$29,764'}, {0: 'B. Federal loan programs: Federal Perkins, Federal\nStafford Subsidized and Unsubsidized. Include both\nFederal Direct Student Loans and Federal Family\nEducation Loans.', 1: '2,685', 2: '57%', 3: '$21,171'}, {0: 'C. Institutional loan program', 1: '0', 2: '0%', 3: '$0'}, {0: 'D. State loan programs', 1: '0', 2: '0%', 3: '$0'}, {0: 'E. Private student loans made by a bank or lender', 1: '611', 2: '13%', 3: '$39,658'}]]","<table> <tr> <td> Source/Type of Loan </td> <td> Number in the class <br/> (defined in H4 above) <br/> who borrowed from <br/> the types of loans <br/> specific in the first <br/> column </td> <td> Percent of the class <br/> (defined above) who <br/> borrowed from the <br/> types of loans <br/> specified in the first <br/> column (nearest 1%) </td> <td> Average per￾ <br/> undergraduate￾ <br/> borrower <br/> cumulative <br/> principal <br/> borrowed from <br/> the types of loans <br/> specific in the first <br/> column (nearest <br/> $1) </td> </tr> <tr> <td> A. Any loan program: Federal Perkins, Federal Stafford <br/> Subsidized and Unsubsidized, institutional, state, private <br/> loans that your institution is aware of, etc. Include both <br/> Federal Direct Student Loans and Federal Family <br/> Education Loans. </td> <td> 2,724 </td> <td> 58% </td> <td> $29,764 </td> </tr> <tr> <td> B. Federal loan programs: Federal Perkins, Federal <br/> Stafford Subsidized and Unsubsidized. Include both <br/> Federal Direct Student Loans and Federal Family <br/> Education Loans. </td> <td> 2,685 </td> <td> 57% </td> <td> $21,171 </td> </tr> <tr> <td> C. Institutional loan program </td> <td> 0 </td> <td> 0% </td> <td> $0 </td> </tr> <tr> <td> D. State loan programs </td> <td> 0 </td> <td> 0% </td> <td> $0 </td> </tr> <tr> <td> E. Private student loans made by a bank or lender </td> <td> 611 </td> <td> 13% </td> <td> $39,658 </td> </tr> </table>",166629___www_umass_edu_uair_media_878_download,../data/cds-docs/2023-2024/166629___www_umass_edu_uair_media_878_download.pdf,2023-2024
